"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"190",2017,0.9438663,0.0466852,0.7493623,0.9895359,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"191",2018,0.9057274,0.0553544,0.7294632,0.9716177,"Brünnich's guillemot","Bjørnøya","Brünnich's guillemot-Bjørnøya"
"192",2006,0.9695396,0.0662542,0.2815618,0.9996133,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"193",2007,0.8729337,0.074787,0.6469456,0.962625,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"194",2008,0.9052822,0.0546823,0.732513,0.9708942,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"195",2009,0.9204534,0.0481327,0.7613432,0.9767287,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"196",2011,0.8166647,0.0466426,0.7075103,0.8913398,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"197",2012,0.9209672,0.0201848,0.8712464,0.9525334,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"198",2013,0.8882663,0.0276612,0.8215513,0.9321005,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"199",2014,0.8144138,0.036675,0.731718,0.875941,"Brünnich's guillemot","Isfjorden","Brünnich's guillemot-Isfjorden"
"200",2005,0.9676276,0.0601673,0.4092209,0.9992253,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"201",2007,0.7352333,0.0876207,0.534725,0.8702932,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"202",2010,0.652552,0.0749355,0.4956199,0.7821216,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"203",2012,0.7087897,0.0781582,0.536768,0.8364008,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"204",2014,0.6568285,0.0735042,0.5025098,0.783867,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"205",2015,0.8145991,0.0725451,0.6315102,0.9184634,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"206",2016,0.8776026,0.0712889,0.661308,0.9634103,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"207",2017,0.9049827,0.0723601,0.6466871,0.9802219,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"208",2019,0.7588033,0.0832922,0.5631954,0.8847416,"Common guillemot","Hjelmsøya","Common guillemot-Hjelmsøya"
"209",2012,0.9272996,0.0615644,0.6804914,0.9870781,"Common guillemot","Jan Mayen","Common guillemot-Jan Mayen"
"210",2014,0.8447162,0.0753539,0.6382511,0.9437317,"Common guillemot","Jan Mayen","Common guillemot-Jan Mayen"
"211",2015,0.7864736,0.0778487,0.597534,0.9013573,"Common guillemot","Jan Mayen","Common guillemot-Jan Mayen"
"212",2016,0.8286165,0.0723315,0.6405044,0.9291795,"Common guillemot","Jan Mayen","Common guillemot-Jan Mayen"
"213",2017,0.873496,0.067504,0.6758757,0.9580964,"Common guillemot","Jan Mayen","Common guillemot-Jan Mayen"
"214",2018,0.9160667,0.0556439,0.7254425,0.9783002,"Common guillemot","Jan Mayen","Common guillemot-Jan Mayen"
"215",2006,0.9176153,0.045709,0.7729931,0.9732854,"Little auk","Bjørnøya","Little auk-Bjørnøya"
